short_ma,long_ma,squid_profit_day_minus2,squid_profit_day_minus1,squid_profit_day_0,total_squid_profit,total_profit
2,32,,0,0,0,24577
2,38,,553,4204,4757,25130
2,40,,553,4204,4757,25130
2,42,,553,3833,4386,25130
2,28,,0,0,0,24577
2,26,,0,0,0,24577
2,44,,-235,3833,3598,24342
2,34,,207,0,207,24784
2,30,,0,0,0,24577
2,36,,553,4204,4757,25130
2,22,,0,0,0,24577
2,24,,0,0,0,24577
3,22,,0,0,0,24577
3,36,,553,4204,4757,25130
3,28,,0,0,0,24577
3,24,,0,0,0,24577
3,38,,553,4204,4757,25130
3,32,,0,0,0,24577
3,44,,-235,3833,3598,24342
3,26,,0,0,0,24577
3,34,,207,0,207,24784
3,40,,553,4204,4757,25130
3,42,,553,3833,4386,25130
3,30,,0,0,0,24577
4,22,,0,0,0,24577
4,24,,0,0,0,24577
4,26,,0,0,0,24577
4,30,,0,0,0,24577
4,40,,553,4204,4757,25130
4,34,,207,0,207,24784
4,36,,553,4204,4757,25130
4,28,,0,0,0,24577
4,44,,-235,3833,3598,24342
4,32,,0,0,0,24577
4,42,,553,3833,4386,25130
4,38,,553,4204,4757,25130
5,22,,0,0,0,24577
5,24,,0,0,0,24577
5,26,,0,0,0,24577
5,28,,0,0,0,24577
5,30,,0,0,0,24577
5,34,,207,0,207,24784
5,38,,553,4204,4757,25130
5,36,,553,4204,4757,25130
5,42,,553,3833,4386,25130
5,44,,-235,3833,3598,24342
5,32,,0,0,0,24577
5,40,,553,4204,4757,25130
6,22,,0,0,0,24577
6,24,,0,0,0,24577
6,26,,0,0,0,24577
6,28,,0,0,0,24577
6,30,,0,0,0,24577
6,32,,0,0,0,24577
6,44,,-235,3833,3598,24342
6,36,,553,4204,4757,25130
6,40,,553,4204,4757,25130
6,34,,207,0,207,24784
6,38,,553,4204,4757,25130
6,42,,553,3833,4386,25130
7,22,,0,0,0,24577
7,26,,0,0,0,24577
7,24,,0,0,0,24577
7,28,,0,0,0,24577
7,30,,0,0,0,24577
7,38,,553,4204,4757,25130
7,36,,553,4204,4757,25130
7,42,,553,3833,4386,25130
7,40,,553,4204,4757,25130
7,44,,-235,3833,3598,24342
7,34,,207,0,207,24784
7,32,,0,0,0,24577
8,22,,0,0,0,24577
8,26,,0,0,0,24577
8,24,,0,0,0,24577
8,28,,0,0,0,24577
8,30,,0,0,0,24577
8,32,,0,0,0,24577
8,44,,-235,3833,3598,24342
8,40,,553,4204,4757,25130
8,36,,553,4204,4757,25130
8,42,,553,3833,4386,25130
8,38,,553,4204,4757,25130
8,34,,207,0,207,24784
9,22,,0,0,0,24577
9,24,,0,0,0,24577
9,26,,0,0,0,24577
9,28,,0,0,0,24577
9,30,,0,0,0,24577
9,38,,553,4204,4757,25130
9,42,,553,3833,4386,25130
9,36,,553,4204,4757,25130
9,44,,-235,3833,3598,24342
9,34,,207,0,207,24784
9,40,,553,4204,4757,25130
9,32,,0,0,0,24577
