long_ma,z_threshold,squid_profit_day_minus2,squid_profit_day_minus1,squid_profit_day_0,total_squid_profit,total_profit
1,1.7,0,0,0,0,24577
1,1.4,0,0,0,0,24577
1,1.1,0,0,0,0,24577
1,1.9,0,0,0,0,24577
1,1.3,0,0,0,0,24577
1,1.2,0,0,0,0,24577
1,1.8,0,0,0,0,24577
1,2.1,0,0,0,0,24577
1,1.6,0,0,0,0,24577
1,1.5,0,0,0,0,24577
1,1.0,0,0,0,0,24577
1,2.0,0,0,0,0,24577
1,2.4,0,0,0,0,24577
1,2.2,0,0,0,0,24577
1,3.0,0,0,0,0,24577
1,2.3,0,0,0,0,24577
1,2.5,0,0,0,0,24577
1,2.8,0,0,0,0,24577
1,2.7,0,0,0,0,24577
1,2.6,0,0,0,0,24577
2,1.0,0,0,0,0,24577
2,1.1,0,0,0,0,24577
1,2.9,0,0,0,0,24577
2,1.2,0,0,0,0,24577
2,1.5,0,0,0,0,24577
2,1.3,0,0,0,0,24577
2,1.4,0,0,0,0,24577
2,1.8,0,0,0,0,24577
2,1.6,0,0,0,0,24577
2,1.7,0,0,0,0,24577
2,1.9,0,0,0,0,24577
2,2.1,0,0,0,0,24577
2,2.3,0,0,0,0,24577
2,2.2,0,0,0,0,24577
2,2.0,0,0,0,0,24577
2,2.4,0,0,0,0,24577
2,2.7,0,0,0,0,24577
2,2.5,0,0,0,0,24577
2,2.6,0,0,0,0,24577
2,2.9,0,0,0,0,24577
2,2.8,0,0,0,0,24577
2,3.0,0,0,0,0,24577
3,1.1,0,0,0,0,24577
3,1.0,0,0,0,0,24577
3,1.2,0,0,0,0,24577
3,1.3,0,0,0,0,24577
3,1.4,0,0,0,0,24577
3,1.5,0,0,0,0,24577
3,1.6,0,0,0,0,24577
3,1.8,0,0,0,0,24577
3,2.2,0,0,0,0,24577
3,1.7,0,0,0,0,24577
3,2.1,0,0,0,0,24577
3,2.5,0,0,0,0,24577
3,2.3,0,0,0,0,24577
3,1.9,0,0,0,0,24577
3,2.0,0,0,0,0,24577
3,2.6,0,0,0,0,24577
3,2.4,0,0,0,0,24577
3,2.7,0,0,0,0,24577
3,2.8,0,0,0,0,24577
4,1.0,0,0,0,0,24577
3,2.9,0,0,0,0,24577
