short_ma,long_ma,z_threshold,squid_profit,total_profit
5,30,2.5,,
5,35,3.0,,
5,30,3.0,,
5,30,2.9,,
5,30,2.6,,
5,30,2.0,,
5,30,2.4,,
5,30,2.1,,
5,30,2.7,,
5,30,2.8,,
5,30,2.3,,
5,30,2.2,,
5,35,2.7,,
5,35,2.9,,
5,35,2.6,,
5,35,2.8,,
5,35,2.5,,
5,35,2.4,,
5,35,2.3,,
5,35,2.2,,
5,40,3.0,,
5,35,2.1,,
5,35,2.0,,
5,40,2.9,,
5,40,2.8,,
5,40,2.7,,
5,40,2.6,,
5,40,2.4,,
5,40,2.2,,
5,40,2.1,,
5,40,2.3,,
5,40,2.0,,
5,45,3.0,,
5,40,2.5,,
5,45,2.8,,
5,45,2.9,,
5,45,2.7,,
5,45,2.5,,
5,45,2.6,,
5,45,2.3,,
5,45,2.1,,
5,50,3.0,,
5,45,2.0,,
5,50,2.9,,
5,45,2.2,,
5,50,2.7,,
5,50,2.8,,
5,45,2.4,,
5,50,2.6,,
5,50,2.5,,
5,50,2.4,,
5,50,2.3,,
5,50,2.1,,
5,50,2.0,,
5,55,2.6,,
5,55,2.9,,
5,55,2.7,,
5,50,2.2,,
5,55,3.0,,
5,55,2.8,,
5,55,2.5,,
5,55,2.4,,
5,55,2.3,,
5,55,2.1,,
5,60,2.8,,
5,60,2.9,,
5,55,2.2,,
5,55,2.0,,
5,60,2.7,,
5,60,3.0,,
5,60,2.6,,
5,60,2.5,,
5,60,2.4,,
8,30,2.5,,
8,30,2.3,,
8,30,2.6,,
5,60,2.3,,
8,30,2.7,,
8,30,2.4,,
5,60,2.1,,
8,30,3.0,,
8,30,2.9,,
5,60,2.0,,
5,60,2.2,,
8,30,2.8,,
8,35,2.2,,
8,35,3.0,,
8,35,2.5,,
8,35,2.6,,
8,35,2.7,,
